title,album,artists,duration,popularity
I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran|Justin Bieber,219946,88
I Want It That Way,The Hits--Chapter One,Backstreet Boys,213600,75
Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,202066,77
I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,291293,79
9 To 5,Dolly Parton Slipcase,Dolly Parton,162466,18
Don't Go Breaking My Heart,Rock Of The Westies (Remastered),Elton John|Kiki Dee,275440,24
"Hey, Soul Sister","Hey, Soul Sister",Train,216666,26
Señorita,Señorita,Shawn Mendes|Camila Cabello,190960,91
Story of My Life,Midnight Memories (Deluxe),One Direction,245493,79
Shotgun,Staying at Tamara's,George Ezra,201287,80
Uptown Girl,The Essential Billy Joel,Billy Joel,194866,67
I'm Still Standing,Rocket Man (Deluxe Edition),Elton John,181786,25
Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,238733,76
Dancing Queen,ABBA Gold,ABBA,231093,64
Marry You,Doo-Wops & Hooligans,Bruno Mars,230120,71
The Tide Is High - Radio Mix,Feels So Good,Atomic Kitten,206093,63
Dancing in the Moonlight,Dancing In The Moonlight: The Best Of Toploader,Toploader,233373,68
Bleeding Love,Spirit,Leona Lewis,262664,69
A Thousand Miles,Best Of,Vanessa Carlton,237440,13
You Can't Hurry Love,"Hello, I Must Be Going",Phil Collins,175346,29
I'm Yours,We Sing. We Dance. We Steal Things.,Jason Mraz,242186,81
Shut Up and Dance,TALKING IS HARD,WALK THE MOON,199080,29
Stop,Spiceworld,Spice Girls,204753,68
Hey There Delilah,Hey There Delilah,Plain White T's,233200,12
Bad Day,Daniel Powter (U.S. Release),Daniel Powter,233640,75
Take A Bow,Good Girl Gone Bad: Reloaded,Rihanna,229413,76
Don't Stop Believin',80s 100 Hits,Journey,248200,66
Uptown Girl - Radio Edit,Coast To Coast,Westlife,185434,67
Summer Of '69,Reckless (30th Anniversary / Deluxe Edition),Bryan Adams,216053,18
Walking in Memphis,It's a Man's World,Cher,235493,65
Wake Me Up Before You Go-Go,Make It Big,Wham!,230693,24
Man! I Feel Like A Woman!,Come On Over,Shania Twain,233000,17
Because of You,Greatest Hits - Chapter One,Kelly Clarkson,220373,62
Don't Call Me Up,Don't Call Me Up,Mabel,178480,70
SOS,SOS,Avicii|Aloe Blacc,157202,28
"Footloose - From ""Footloose"" Soundtrack",The Essential Kenny Loggins,Kenny Loggins,226293,67
(I've Had) The Time of My Life,Dirty Dancing,Bill Medley|Jennifer Warnes,289680,19
Wannabe,Spice,Spice Girls,173026,78
Take A Chance On Me,The Album,ABBA,243933,62
You'll Be In My Heart,Tarzan Original Soundtrack (Danish Version),Phil Collins,258399,13
She Will Be Loved,Songs About Jane,Maroon 5,257133,21
If I Could Turn Back Time,Heart Of Stone,Cher,239826,71
Man in the Mirror - Remastered Version,Michael Jackson's This Is It,Michael Jackson,319493,57
Whole Again,Right Now,Atomic Kitten,185013,66
You Can't Hurry Love,The Supremes A' Go-Go (Expanded Edition),The Supremes,167933,73
Hot N Cold,One Of The Boys,Katy Perry,220226,68
Girls Just Want to Have Fun,She's So Unusual,Cyndi Lauper,238266,75
There She Goes,The La's,The La's,162186,66
Treat You Better,Treat You Better,Shawn Mendes,187973,14
Apologize,Dreaming Out Loud,OneRepublic,208106,69
Last Friday Night (T.G.I.F.),Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,230746,73
Call Me Maybe,Kiss,Carly Rae Jepsen,193400,75
Faith - Remastered,Faith,George Michael,193200,74
Mercy,Mercy,Shawn Mendes,208733,13
Dynamite,The Rokstarr Hits Collection,Taio Cruz,202613,75
Come On Eileen,Too Rye Ay,Dexys Midnight Runners,287306,20
Bye Bye Bye,No Strings Attached,*NSYNC,200400,70
Complicated,Let Go,Avril Lavigne,244506,76
Grace Kelly,Life In Cartoon Motion,MIKA,187733,66
Oops!...I Did It Again,Oops! I Did It Again - The Best Of Britney Spears,Britney Spears,211693,10
Grenade,Doo-Wops & Hooligans,Bruno Mars,223253,74
I Kissed A Girl,One Of The Boys,Katy Perry,179640,68
All of Me,Love In The Future (Expanded Edition),John Legend,269560,84
Umbrella,Good Girl Gone Bad: Reloaded,Rihanna|JAY-Z,275986,79
Kiss Me,6 PICKS: Essential Radio Hits EP,Sixpence None The Richer,204753,16
Walking on Broken Glass,Diva,Annie Lennox,253295,69
Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,242373,77
Greased Lightnin',Greased Lightnin',John Travolta,194120,56
Nothing's Gonna Stop Us Now,No Protection,Starship,270333,24
Believe,Believe,Cher,239026,75
Where Is The Love?,Elephunk (International Version),The Black Eyed Peas,272533,19
So What,Funhouse,P!nk,215160,10
Time After Time,The Essential Cyndi Lauper,Cyndi Lauper,241160,60
No Scrubs,Fanmail,TLC,214400,78
We Are Family,We Are Family [Expanded],Sister Sledge,216733,69
I'm Gonna Be (500 Miles),Sunshine On Leith,The Proclaimers,219466,69
Angels - 2004 Mix,In And Out Of Consciousness: Greatest Hits 1990 - 2010,Robbie Williams,267413,58
Africa,Toto IV,TOTO,295893,82
Everybody (Backstreet's Back) - Radio Edit,Backstreet's Back,Backstreet Boys,225360,13
I Love You Always Forever,Now In A Minute,Donna Lewis,239960,69
Fast Car,Tracy Chapman,Tracy Chapman,296800,76
Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira|Wyclef Jean,218093,81
St. Elmos Fire (Man in Motion),St. Elmo's Fire - Music From The Original Motion Picture Soundtrack,John Parr,251800,67
Karma Chameleon,At Worst...The Best Of Boy George And Culture Club,Culture Club,241600,62
Iris,Dizzy up the Girl,The Goo Goo Dolls,289533,76
It's Raining Men,80s 100 Hits,The Weather Girls,212000,63
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira|Freshlyground,202626,78
I Still Haven't Found What I'm Looking For - Remastered 2007,The Joshua Tree (Deluxe Edition Remastered),U2,277480,26
Torn,Left Of The Middle,Natalie Imbruglia,244666,64
I Knew I Loved You,Affirmation,Savage Garden,250693,20
I Will Always Love You,Love Songs,Whitney Houston,270946,54
"Love Is All Around - From ""Four Weddings and a Funeral"" Original Motion Picture Soundtrack",Step By Step The Greatest Hits,Wet Wet Wet,237958,16
Just Dance,The Fame,Lady Gaga|Colby O'Donis,241933,72
Manic Monday,Different Light,The Bangles,184173,53
We Built This City,Knee Deep In The Hoopla,Starship,296080,26
(Everything I Do) I Do It For You,Waking Up The Neighbours,Bryan Adams,394133,64
MMMBop,MmmBop : The Collection,Hanson,267946,10
Like a Prayer,Celebration (double disc version),Madonna,342680,70
I Don't Feel Like Dancin' - Radio Edit,I Don't Feel Like Dancin',Scissor Sisters,248640,67
Life Is A Highway,Mad Mad World,Tom Cochrane,266560,62
